website,loc,lastmod,cured_name
GuyInACube,https://www.youtube.com/watch?v=pozbeRMNCJo,2024 02 24,"REPLAY Microsoft Fabric / Power BI Q&amp;A - LIVE (Feb 24, 2024)"
GuyInACube,https://www.youtube.com/watch?v=SyRDll6OvX0,2024 02 21,Creating your first EVENTSTREAM in Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=jouBo0AzbvQ,2023 12 13,Exploring Custom Spark Pools in Microsoft Fabric Lakehouses
GuyInACube,https://www.youtube.com/watch?v=K2WdIdfpIic,2023 11 30,Let&#39;s look at using some PySpark in your first Microsoft Fabric Notebook
GuyInACube,https://www.youtube.com/watch?v=AyYDLTvoXNk,2023 11 15,Leverage OneLake with Azure Databricks
GuyInACube,https://www.youtube.com/watch?v=Ite05gBQA9Q,2023 10 14,"REPLAY Microsoft Fabric / Power BI Q&amp;A - LIVE (Oct 14, 2023)"
GuyInACube,https://www.youtube.com/watch?v=03Tf1tKNzfY,2023 09 29,The secret whereabouts of Adam &amp; Patrick revealed!
GuyInACube,https://www.youtube.com/watch?v=UU51e--zq9c,2023 09 21,Editing your Direct Lake Datasets from Tabular Editor? Yes please!
GuyInACube,https://www.youtube.com/watch?v=StIBBb69wDw,2023 09 05,Creating your first Data Warehouse in Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=QV6b8CKNhzU,2023 08 17,Using Figma to wireframe your Power BI reports
GuyInACube,https://www.youtube.com/watch?v=RaHAoZD2mZE,2023 06 29,Create MEANINGFUL data labels with measures in Power BI
GuyInACube,https://www.youtube.com/watch?v=ilTeVH2Cwck,2023 06 28,Can you use Power Query Dynamic M Parameters for multi-select?
GuyInACube,https://www.youtube.com/watch?v=DB8zujLjzVo,2023 06 27,SQL Server in Microsoft Fabric? Use CETaS to move data!
GuyInACube,https://www.youtube.com/watch?v=WWvs0Z4zTGw,2023 06 24,"REPLAY Microsoft Fabric/Power BI Q&amp;A - LIVE (June 24, 2023)"
GuyInACube,https://www.youtube.com/watch?v=N11LneTF8-4,2023 06 22,Digging into DYNAMIC format strings for DAX Measures in Power BI
GuyInACube,https://www.youtube.com/watch?v=LDZL0gyHQbs,2023 06 21,Get the most as a Data Scientist with Microsoft Fabric (Public Preview)
GuyInACube,https://www.youtube.com/watch?v=_-rxBAtFFOA,2023 06 20,"Your data is in the Lakehouse, but now what? | Microsoft Fabric (Public Preview)"
GuyInACube,https://www.youtube.com/watch?v=piv6I5ohH6k,2023 06 17,"REPLAY Microsoft Fabric/Power BI Q&amp;A - LIVE (June 17, 2023)"
GuyInACube,https://www.youtube.com/watch?v=fvuL8Nk_gxU,2023 06 15,What does Microsoft Fabric mean for Power BI?
GuyInACube,https://www.youtube.com/watch?v=Q8NfZCFKCmw,2023 06 14,Understanding the TIMELINE in DAX Studio
GuyInACube,https://www.youtube.com/watch?v=SFta1_70T_U,2023 06 13,Create your FIRST Lakehouse in Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=hUfdMc0GW8s,2023 06 10,"REPLAY Let&#39;s talk Microsoft Fabric - LIVE w/ Amir Netz (June 10, 2023)"
GuyInACube,https://www.youtube.com/watch?v=6AAeV3bSMso,2023 06 08,Understanding Microsoft Fabric Licensing and Cost (Public Preview)
GuyInACube,https://www.youtube.com/watch?v=2bGb0QCLebw,2023 06 07,Use your browser to edit your Power BI dataset within Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=wEcRTSNhtLg,2023 06 06,Understanding OneLake within Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=VdwsJ-Ix-oc,2023 06 01,Leverage the Microsoft Fabric Trial
GuyInACube,https://www.youtube.com/watch?v=zG2yyJzMooM,2023 05 31,Why can&#39;t I use Microsoft Fabric?
GuyInACube,https://www.youtube.com/watch?v=-f0XIVEP7bE,2023 05 30,What is Microsoft Fabric (Public Preview)?
GuyInACube,https://www.youtube.com/watch?v=5pg9MlQy9cE,2023 05 27,"REPLAY Let&#39;s talk Microsoft Fabric - LIVE w/ Matthew Roche (May 27, 2023)"
GuyInACube,https://www.youtube.com/watch?v=wdDx0-jvl7w,2023 05 25,Microsoft Fabric Launch Digital Event (Day 2)
GuyInACube,https://www.youtube.com/watch?v=nHc0H1B6qZI,2023 11 04,"REPLAY Microsoft Fabric / Power BI Q&amp;A - LIVE (Nov 4, 2023)"
GuyInACube,https://www.youtube.com/watch?v=v6IOuysQGRA,2023 11 02,Unleash the Potential of Data Activator in Microsoft Fabric
GuyInACube,https://www.youtube.com/watch?v=lY7aQpxnIJE,2023 11 01,Why On-Object Editing in Power BI???
GuyInACube,https://www.youtube.com/watch?v=XwRcaNLWpYg,2023 10 28,"REPLAY Microsoft Fabric / Power BI Q&amp;A w/ Marco Russo LIVE (October 28, 2023)"
